model_id,condition,n,format_ok_rate,rag_context_used_rate,pass_rate,partial_rate,fail_rate,openai_correctness_mean,openai_relevancy_mean,openai_faithfulness_mean,openai_ctx_precision_mean,openai_ctx_recall_mean,openai_ctx_relevancy_mean,anthropic_correctness_mean,anthropic_relevancy_mean,anthropic_faithfulness_mean,anthropic_ctx_precision_mean,anthropic_ctx_recall_mean,anthropic_ctx_relevancy_mean,model_display
gpt-5-mini,no_rag,20,0.15,0.0,0.1,0.05,0.85,0.175,0.14285714285714285,,,,,0.08499999999999999,1.0,,,,,GPT-5 Mini
gpt-5-mini,rag_gated,20,0.35,0.8,0.05,0.1,0.85,0.185,0.31875,0.9754464285714286,0.5296875,0.3594494047619048,0.6836260810785457,0.135,0.9944444444444445,,,,,GPT-5 Mini
gpt-5-mini,rag_always,20,0.35,1.0,0.15,0.1,0.75,0.265,0.3388888888888889,0.9350793650793652,0.5255,0.36041666666666666,0.6656286311118589,0.2,0.9888888888888889,,,,,GPT-5 Mini
gpt-5.2,no_rag,20,1.0,0.0,0.2,0.2,0.6,0.49000000000000005,0.9315487358170286,,,,,0.385,0.9473809523809524,,,,,GPT-5.2
gpt-5.2,rag_gated,20,1.0,0.8,0.15,0.2,0.65,0.445,0.9735698125404009,0.8453096382783882,0.5473958333333333,0.3672619047619048,0.6620303769861082,0.36,1.0,,,,,GPT-5.2
gpt-5.2,rag_always,20,0.95,1.0,0.2,0.05,0.75,0.44000000000000006,0.9456025102348631,0.8579212454212455,0.5229999999999999,0.34672619047619047,0.6585491827692107,0.34500000000000003,0.9681881598793364,,,,,GPT-5.2
claude-sonnet,no_rag,20,1.0,0.0,0.25,0.15,0.6,0.48,0.951388888888889,,,,,0.305,0.9958333333333333,,,,,Claude Sonnet 4.5
claude-sonnet,rag_gated,20,1.0,0.8,0.3,0.1,0.6,0.51,0.9528125,0.8918393993998832,0.5417708333333333,0.35007440476190477,0.6746161332826148,0.40499999999999997,0.9769578134284016,,,,,Claude Sonnet 4.5
claude-sonnet,rag_always,20,1.0,1.0,0.2,0.05,0.75,0.465,0.9487968333266321,0.9238622080533846,0.5338888888888889,0.3113095238095238,0.6905262808881761,0.37,0.9818137254901961,,,,,Claude Sonnet 4.5
gemini-3-flash,no_rag,20,1.0,0.0,0.15,0.15,0.7,0.43499999999999994,0.8862274311945365,,,,,0.34500000000000003,0.9944444444444445,,,,,Gemini 3 Flash
gemini-3-flash,rag_gated,20,1.0,0.8,0.15,0.15,0.7,0.44000000000000006,0.9040387426900585,0.7634320175438596,0.5802083333333333,0.3787202380952381,0.7141993371387985,0.355,0.9108333333333334,,,,,Gemini 3 Flash
gemini-3-flash,rag_always,20,1.0,1.0,0.15,0.15,0.7,0.41500000000000004,0.8941181077694236,0.7742230576441103,0.5033333333333333,0.33422619047619045,0.6746221689359847,0.34500000000000003,0.9172619047619047,,,,,Gemini 3 Flash
grok-4.1-fast,no_rag,20,0.85,0.0,0.1,0.25,0.65,0.395,0.7917887667887669,,,,,0.32,0.8150000000000001,,,,,Grok 4.1 Fast
grok-4.1-fast,rag_gated,20,0.9,0.8,0.1,0.05,0.85,0.38,0.7882738095238095,0.9542857142857143,0.5306666666666666,0.3764430014430014,0.6547256408775574,0.315,0.8767045454545455,,,,,Grok 4.1 Fast
grok-4.1-fast,rag_always,20,0.9,1.0,0.1,0.1,0.8,0.38,0.7734848484848484,0.8606902356902357,0.5019444444444444,0.3505291005291005,0.6614768782776063,0.31,0.8454545454545455,,,,,Grok 4.1 Fast
kimi-k2.5,no_rag,20,1.0,0.0,0.25,0.2,0.55,0.5,0.8789833916083916,,,,,0.34500000000000003,0.8813749730661495,,,,,Kimi K2.5
kimi-k2.5,rag_gated,20,1.0,0.8,0.2,0.15,0.65,0.47000000000000003,0.9584511434511434,0.9173390151515152,0.5598263888888888,0.3787202380952381,0.6661593342486618,0.34500000000000003,0.9545238095238096,,,,,Kimi K2.5
